Datos que encuentra el metodo de Euler:
N		X			  Y
000	0.0000	0.0333
001	0.0333	0.0656
002	0.0667	0.0967
003	0.1000	0.1270
004	0.1333	0.1564
005	0.1667	0.1851
006	0.2000	0.2132
007	0.2333	0.2408
008	0.2667	0.2679
009	0.3000	0.2947
010	0.3333	0.3212
011	0.3667	0.3475
012	0.4000	0.3738
013	0.4333	0.4000
014	0.4667	0.4262
015	0.5000	0.4526
016	0.5333	0.4792
017	0.5667	0.5060
018	0.6000	0.5332
019	0.6333	0.5608
020	0.6667	0.5888
021	0.7000	0.6173
022	0.7333	0.6464
023	0.7667	0.6761
024	0.8000	0.7065
025	0.8333	0.7376
026	0.8667	0.7695
027	0.9000	0.8022
028	0.9333	0.8358
029	0.9667	0.8703
030	1.0000	0.9058
031	1.0333	0.9423
032	1.0667	0.9798
033	1.1000	1.0184
034	1.1333	1.0581
035	1.1667	1.0990
036	1.2000	1.1411
037	1.2333	1.1844
038	1.2667	1.2289
039	1.3000	1.2748
040	1.3333	1.3219
041	1.3667	1.3705
042	1.4000	1.4204
043	1.4333	1.4717
044	1.4667	1.5245
045	1.5000	1.5787
046	1.5333	1.6344
047	1.5667	1.6916
048	1.6000	1.7504
049	1.6333	1.8107
050	1.6667	1.8726
051	1.7000	1.9361
052	1.7333	2.0012
053	1.7667	2.0680
054	1.8000	2.1364
055	1.8333	2.2066
056	1.8667	2.2784
057	1.9000	2.3519
058	1.9333	2.4272
059	1.9667	2.5042
